Clasificación de países con más súperoyentes,,,,
1. Chile,2. México,3. Canadá,4. Hong Kong,5. Estados Unidos
6. Argentina,7. Colombia,8. Japón,9. Polonia,10. Filipinas
,,,,
Artistas más escuchados en 2022 a nivel mundial (en Spotify),,,,
1. Bad Bunny,2. Taylor Swift,3. Drake,4. The Weeknd,5. BTS
6. Ed Sheeran,7. Harry Styles,8. Justin Bieber,9. Kanye West,10. Eminem
,,,,
Canciones más escuchadas en 2022 (en Spotify),,,,
"1. As it was
Harry Styles","2. Heat Waves
Glass Animals","3. STAY
Justin Bieber & Kid Laroi","4. Me porto Bonito
Bad Bunny","5. Tití me preguntó
Bad Bunny"
"6. Cold Heart
Dua Lipa & 
Elton John","7. Quevedo: BZRP 
Music Session
Bizarrap & Quevedo","8. Enemy
Imagine Dragons & JID","9. Ojitos Lindos
Bad Bunny","10. Running up the hill
Kate Bush"
,,,,
Álbumes más escuchados en 2022 (en Spotify),,,,
"1. Un Verano Sin Ti
Bad Bunny","2. Harry's House
Harry Styles","3. SOUR
Olivia Rodrigo","4. =
Ed Sheeran","5. Planet Her (Deluxe)
Doja Cat"
"6. Future Nostalgia
Dua Lipa","7. Midnights
Taylor Swift","8. YHLQMDLG
Bad Bunny","9. Justice
Justin Bieber","10. Dawn FM
The Weeknd"
